Project;X;Y;Ecoregion;Basin;BC region
Monteiro 2011;-37.287;-3.81;ER75;POT;
Santos 2006;-35.34683333;-5.226694444;ER75;POT;
Santos 2006;-36.21005556;-4.882083333;ER75;POT;
Santos 2006;-36.23227778;-4.877638889;ER75;POT;
Santos 2006;-36.23261111;-4.877527778;ER75;POT;
Silva et al. 2018;-36.6;-4.717;ER75;POT;
Silva et al. 2018;-36.601;-4.721;ER75;POT;
Silva et al. 2018;-36.601;-4.719;ER75;POT;
Silva et al. 2018;-36.602;-4.717;ER75;POT;
Silva et al. 2018;-36.602;-4.715;ER75;POT;
Silva et al. 2018;-36.602;-4.712;ER75;POT;
Silva et al. 2018;-36.603;-4.714;ER75;POT;
Silva et al. 2018;-36.604;-4.717;ER75;POT;
Testa e Bosence 1999;-35.26305556;-5.149444444;ER75;POT;
Testa e Bosence 1999;-35.26333333;-5.151944444;ER75;POT;
Testa e Bosence 1999;-35.26361111;-5.149166667;ER75;POT;
Testa e Bosence 1999;-35.26722222;-5.051944444;ER75;POT;
Testa e Bosence 1999;-35.31361111;-5.0975;ER75;POT;
Testa e Bosence 1999;-35.31638889;-5.067777778;ER75;POT;
Testa e Bosence 1999;-35.32;-5.105555556;ER75;POT;
Testa e Bosence 1999;-35.32694444;-5.113888889;ER75;POT;
Testa e Bosence 1999;-35.33527778;-5.207222222;ER75;POT;
Testa e Bosence 1999;-35.36222222;-5.156388889;ER75;POT;
Testa e Bosence 1999;-35.39555556;-5.066666667;ER75;POT;
Testa e Bosence 1999;-35.39583333;-5.0675;ER75;POT;
Bahia2014;-33.83055556;-3.860555556;ER74;POT;
Bahia2014;-33.85527778;-3.846944444;ER74;POT;
Bahia2014;-33.8825;-3.843888889;ER74;POT;
Kempf1970;-35.32494372;-4.77511325;ER75;PEPB;
Kempf1970;-34.63822853;-7.752513794;ER75;PEPB;
Kempf1970;-35.08831898;-5.561278809;ER75;PEPB;
Kempf1970;-34.71861484;-7.060494743;ER75;PEPB;
Kempf1970;-35.05319319;-5.82428826;ER75;PEPB;
Kempf1970;-35.13464324;-5.544841355;ER75;PEPB;
Kempf1970;-35.35417525;-4.864644812;ER75;PEPB;
Kempf1970;-34.58289707;-7.665223985;ER75;PEPB;
Kempf1970;-35.39704963;-4.813266935;ER75;PEPB;
Kempf1970;-35.14990117;-5.067698805;ER75;PEPB;
Kempf1970;-35.12624305;-5.315552968;ER75;PEPB;
Kempf1970;-35.16195566;-5.712353874;ER75;PEPB;
Kempf1970;-34.52960956;-7.542723148;ER75;PEPB;
Kempf1970;-35.02844663;-5.859349515;ER75;PEPB;
Kempf1970;-34.58640809;-7.473469754;ER75;PEPB;
Kempf1970;-35.26396508;-5.103211646;ER75;PEPB;
Kempf1970;-35.0382538;-5.897259989;ER75;PEPB;
Kempf1970;-34.74280455;-6.647882796;ER75;PEPB;
Kempf1970;-35.45103283;-4.855156221;ER75;PEPB;
Kempf1970;-34.65317963;-7.121356579;ER75;PEPB;
Kempf1970;-34.7204915;-7.792802807;ER75;PEPB;
Kempf1970;-34.68487793;-6.856126319;ER75;PEPB;
Kempf1970;-34.99615409;-6.269117925;ER75;PEPB;
Kempf1970;-34.6045757;-7.630383092;ER75;PEPB;
Kempf1970;-34.61323106;-7.187939764;ER75;PEPB;
Kempf1970;-34.87301775;-6.295501816;ER75;PEPB;
Kempf1970;-34.75537049;-7.036594911;ER75;PEPB;
Kempf1970;-34.94764749;-6.451008353;ER75;PEPB;
Kempf1970;-35.27072646;-4.849994144;ER75;PEPB;
